bus,bus_id,marginal_emissions,projected_marginal_emissions,demand_std_mw
161,161,0.7958537416181828,0.7958537416181894,2.407
162,162,0.8102934510555057,0.8102934510554964,0.4
163,163,0.8665855958948315,0.866585595894816,1.368
164,164,0.8665855958948315,0.866585595894816,0.0025
165,165,0.7920615385635071,0.7920615385635038,0.598
166,166,0.7920615385635067,0.7920615385635038,0.598
167,167,0.7920615385635075,0.7920615385635038,1.826
168,168,0.7698939654870758,0.7698939654870753,0.07
169,169,0.8203862855885005,0.8203862855885071,0.0025
170,170,0.8204000000000001,0.8203999999999998,4.89
171,171,0.8200602748313622,0.8200602748313706,8.0
172,172,0.7630402398566833,0.7630402398566846,0.0025
173,173,0.8267949840363624,0.8267949840363759,0.0025
174,174,0.8184462777974947,0.8184462777975149,0.0025
175,175,0.7803284972964544,0.7803284972964591,0.1
176,176,0.7853943183824678,0.7853943183824675,0.43
177,177,0.7856156680510742,0.785615668051082,0.64
178,178,0.7848394560735406,0.7848394560735417,0.35000000000000003
179,179,0.787807994823331,0.7878079948233282,0.27
180,180,0.7642159374968212,0.7642159374968286,0.41000000000000003
181,181,0.7897537121087809,0.7897537121087835,0.38
182,182,0.7877129389213157,0.7877129389213136,0.42
183,183,0.765072074752512,0.7650720747525137,0.72
184,184,0.7586976586248461,0.7586976586248249,0.0025
185,185,0.6871730854878,0.6871730854877812,0.12
186,186,0.6512725722376014,0.6512725722375676,0.21
187,187,0.7590773642757354,0.7590773642757314,0.07
188,188,0.7748862470104291,0.7748862470104324,0.38
189,189,0.7828744089531326,0.7828744089531297,0.0025
190,190,0.7903781684050434,0.7903781684050463,0.96
191,191,0.7987204408879501,0.7987204408879567,0.0025
192,192,0.8064137976618724,0.8064137976618743,0.0025
193,193,0.8064137976618724,0.8064137976618743,0.22
194,194,0.8072387685806035,0.8072387685806109,0.47000000000000003
195,195,0.8111040574685741,0.8111040574685794,1.76
196,196,0.8186234956445712,0.8186234956445724,1.0
197,197,0.8196409190434202,0.8196409190434306,1.31
198,198,0.8204457592025373,0.8204457592025445,0.0025
199,199,0.8196211755706667,0.8196211755706723,2.85
200,200,0.819904734023862,0.8199047340238692,1.71
201,201,0.8204000000016253,0.8204000000016319,3.2800000000000002
202,202,0.8199178801705348,0.819917880170545,4.28
203,203,0.8201058109841749,0.8201058109841857,1.73
204,204,0.8201058109841776,0.8201058109841857,4.1
205,205,0.8201878590598266,0.8201878590598305,0.0025
206,206,0.8203915159897461,0.8203915159897522,5.38
207,207,0.8202212425016233,0.8202212425016295,2.23
208,208,0.8202422194165958,0.8202422194166008,0.96
209,209,0.8202422194165958,0.8202422194166008,0.0025
210,210,0.820391515989746,0.8203915159897522,1.59
211,211,0.820391515989746,0.8203915159897522,4.48
212,212,0.820391515989746,0.8203915159897518,4.04
213,213,0.8201012845060695,0.8201012845060762,5.72
214,214,0.8197093012864296,0.8197093012864383,2.69
215,215,0.8201012845060695,0.8201012845060762,0.0025
216,216,0.8204000000016254,0.8204000000016319,0.0025
217,217,0.8196992122298743,0.819699212229881,2.55
218,218,0.8196992122298743,0.819699212229881,0.0025
219,219,0.8203862855885001,0.8203862855885077,0.0025
220,220,0.8204000000016254,0.8204000000016319,0.0025
221,221,0.8059270132700942,0.805927013270094,0.0025
222,222,0.8045994674008788,0.8045994674008836,0.08
223,223,0.804544149215428,0.8045441492154317,0.0025
224,224,0.8048568204827141,0.8048568204827168,0.61
225,225,0.8044584974120276,0.8044584974120277,0.77
226,226,0.803575691050531,0.8035756910505416,0.61
227,227,0.7975363127211359,0.79753631272114,0.29
228,228,0.7975363127211345,0.7975363127211401,0.29
229,229,0.7975363127211345,0.7975363127211401,0.23
230,230,0.8203862855885001,0.8203862855885077,0.331
231,231,0.5967186099230755,0.5967186099230142,1.158
232,232,0.596115477792518,0.5961154777924567,0.024
233,233,0.5005726291095596,0.5005726291094935,0.024
234,234,0.4818872161633609,0.4818872161633038,0.149
235,235,0.5172999999994287,0.517299999999353,0.247
236,236,0.55568097836093,0.5556809783609269,1.453
237,237,0.7327341718672026,0.7327341718671923,0.281
238,238,0.7463353608266386,0.746335360826631,0.14
239,239,0.7491629141648602,0.749162914164842,0.111
240,240,0.7158985613740024,0.7158985613739928,0.505
241,241,0.7491629141648602,0.749162914164842,0.29600000000000004
242,242,0.8267949840363632,0.8267949840363759,1.137
243,243,-1.169821857731688e-14,-2.5091040356528538e-14,1.0031
244,244,0.20657433792460275,0.2065743379245969,1.0
245,245,-0.41868731108208634,-0.41868731108209445,0.0025
246,246,0.7789781063212107,0.7789781063212211,0.0025
247,247,0.5870780662156139,0.5870780662155525,0.0025
248,248,0.5843534802288674,0.5843534802288138,0.0025
249,249,0.5860219350641269,0.5860219350640745,0.0025
250,250,0.5882139331343769,0.5882139331343164,0.0025
251,251,0.5908073272911909,0.5908073272911353,0.0025
252,252,0.5633103531570074,0.5633103531569537,0.0025
253,253,0.5963348218265945,0.5963348218265279,0.0025
254,254,0.5967186099230755,0.5967186099230142,0.0025
255,255,0.5443023280678596,0.5443023280678168,0.0025
256,256,0.5816831328758021,0.5816831328757306,0.0025
257,257,0.5564289035087983,0.5564289035088349,0.0025
258,258,0.5172999999999993,0.5172999999999986,0.0025
259,259,0.7098186765366002,0.7098186765365804,0.0025
260,260,0.8204000000000342,0.8204000000000236,0.0025
261,261,0.5172999999999305,0.5172999999999304,0.0025
262,262,0.7327341718672103,0.732734171867193,0.0025
263,263,0.820400000000012,0.8204000000000111,0.0025
264,264,0.7960531154852272,0.7960531154852339,0.0025
265,265,0.800841251369982,0.8008412513699716,0.0025
266,266,0.5509924749752015,0.550992474975173,0.0025
267,267,0.5509924749751901,0.5509924749751731,0.042
268,268,0.5509924749748879,0.5509924749751745,0.0271
269,269,0.550992474974864,0.5509924749751737,0.0086
270,270,0.5509924749752015,0.5509924749751731,0.0025
271,271,0.550992474974946,0.5509924749751748,0.0025
272,272,0.5509924749751066,0.5509924749751743,0.0025
273,273,0.5509924749751901,0.5509924749751731,0.0025
274,274,0.5509924749751901,0.5509924749751731,0.0475
275,275,0.5509924749751742,0.5509924749751731,0.015300000000000001
276,276,0.5509924749751901,0.5509924749751731,0.0025
277,277,0.5509924749751901,0.5509924749751731,0.013500000000000002
278,278,0.5509924749752015,0.5509924749751731,0.0045000000000000005
279,279,0.5509924749751901,0.5509924749751731,0.0045000000000000005
280,280,0.5509924749748356,0.5509924749751745,0.0184
281,281,0.5509924749748356,0.5509924749751745,0.0139
282,282,0.5509924749748879,0.5509924749751745,0.0189
283,283,0.5509924749748879,0.5509924749751745,0.015500000000000002
284,284,0.5509924749748879,0.5509924749751745,0.0166
285,285,0.5509924749748356,0.5509924749751745,0.030299999999999997
286,286,0.5509924749748356,0.5509924749751745,0.018600000000000002
287,287,0.5509924749748879,0.5509924749751745,0.0258
288,288,0.550992474974864,0.5509924749751737,0.0101
289,289,0.5509924749748619,0.5509924749751737,0.008100000000000001
290,290,0.5509924749748619,0.5509924749751737,0.016
291,291,0.550992474974864,0.5509924749751737,0.0025
292,292,0.5509924749752213,0.550992474975173,0.35810000000000003
293,293,0.5509924749752015,0.550992474975173,0.3
294,294,0.5509924749751901,0.5509924749751731,0.2648
295,295,0.5509924749751901,0.550992474975173,0.0025
296,296,0.5509924749752213,0.550992474975173,0.0025
297,297,0.5509924749751066,0.5509924749751743,0.0102
298,298,0.550992474974954,0.5509924749751743,0.0102
299,299,0.5509924749752124,0.550992474975173,0.038
300,300,0.5509924749751742,0.5509924749751731,0.011899999999999999
