bus,source,absolute_source,binding_endpoint
56,-1.687538997430238e-14,1.687538997430238e-14,false
57,9.409140133698202e-14,9.409140133698202e-14,false
58,3.9968028886505635e-15,3.9968028886505635e-15,false
59,-1.3422596367718143e-13,1.3422596367718143e-13,false
60,-2.535194276731545e-13,2.535194276731545e-13,false
61,-4.979350265443827e-13,4.979350265443827e-13,false
62,3.61710661422876e-13,3.61710661422876e-13,false
63,1.9095836023552692e-13,1.9095836023552692e-13,false
64,6.27081719883904e-13,6.27081719883904e-13,false
66,-5.12423437015741e-13,5.12423437015741e-13,false
67,-1.0402789740737717e-13,1.0402789740737717e-13,false
70,4.3520742565306136e-14,4.3520742565306136e-14,false
71,5.009326287108706e-13,5.009326287108706e-13,false
73,-1.438849039914203e-13,1.438849039914203e-13,false
74,2.184918912462308e-13,2.184918912462308e-13,false
75,3.0753177782116836e-14,3.0753177782116836e-14,false
76,-5.329070518200751e-15,5.329070518200751e-15,false
77,-6.572520305780927e-14,6.572520305780927e-14,false
78,1.3888890038060708e-13,1.3888890038060708e-13,false
79,-6.661338147750939e-15,6.661338147750939e-15,false
80,-1.425526363618701e-13,1.425526363618701e-13,false
81,5.891953591685706e-13,5.891953591685706e-13,false
82,-1.6608936448392342e-13,1.6608936448392342e-13,false
83,-8.482103908136196e-14,8.482103908136196e-14,false
84,-1.1102230246251565e-14,1.1102230246251565e-14,false
85,1.3011813848606835e-13,1.3011813848606835e-13,false
86,1.637578961322106e-14,1.637578961322106e-14,false
87,-6.394884621840902e-14,6.394884621840902e-14,false
88,-1.2723155862204294e-13,1.2723155862204294e-13,false
89,-1.6708856520608606e-14,1.6708856520608606e-14,false
90,-2.1649348980190553e-15,2.1649348980190553e-15,false
91,2.731148640577885e-14,2.731148640577885e-14,false
92,-8.626432901337466e-14,8.626432901337466e-14,false
93,-5.96189764223709e-14,5.96189764223709e-14,false
94,6.465938895416912e-13,6.465938895416912e-13,false
95,3.597122599785507e-14,3.597122599785507e-14,false
96,4.565237077258644e-13,4.565237077258644e-13,false
97,-4.065636716177323e-13,4.065636716177323e-13,false
99,-8.748557434046234e-14,8.748557434046234e-14,false
101,-3.730349362740526e-13,3.730349362740526e-13,false
102,1.4832579608992091e-13,1.4832579608992091e-13,false
103,-1.8385293287792592e-13,1.8385293287792592e-13,false
104,-7.105427357601002e-15,7.105427357601002e-15,false
106,7.771561172376096e-15,7.771561172376096e-15,false
107,3.552713678800501e-14,3.552713678800501e-14,false
108,1.092459456231154e-13,1.092459456231154e-13,false
110,2.7355895326763857e-13,2.7355895326763857e-13,false
112,6.714628852932947e-13,6.714628852932947e-13,false
113,-1.8740564655672642e-13,1.8740564655672642e-13,false
114,6.572520305780927e-14,6.572520305780927e-14,false
115,3.3306690738754696e-14,3.3306690738754696e-14,false
116,-5.080380560684716e-13,5.080380560684716e-13,false
117,-1.5987211554602254e-14,1.5987211554602254e-14,false
118,1.1546319456101628e-13,1.1546319456101628e-13,false
119,-2.6290081223123707e-13,2.6290081223123707e-13,false
120,-5.684341886080802e-14,5.684341886080802e-14,false
121,-5.773159728050814e-15,5.773159728050814e-15,false
124,-1.7763568394002505e-15,1.7763568394002505e-15,false
125,1.7763568394002505e-14,1.7763568394002505e-14,false
126,5.329070518200751e-15,5.329070518200751e-15,false
127,6.106226635438361e-15,6.106226635438361e-15,false
128,1.2878587085651816e-14,1.2878587085651816e-14,false
129,3.126388037344441e-13,3.126388037344441e-13,false
130,1.865174681370263e-14,1.865174681370263e-14,false
131,3.1086244689504383e-15,3.1086244689504383e-15,false
132,-4.463096558993129e-14,4.463096558993129e-14,false
133,1.326716514427062e-14,1.326716514427062e-14,false
134,-5.950795411990839e-14,5.950795411990839e-14,false
135,-5.329070518200751e-15,5.329070518200751e-15,false
136,-1.0302869668521453e-13,1.0302869668521453e-13,false
137,-4.636291350834654e-13,4.636291350834654e-13,false
138,2.7000623958883807e-13,2.7000623958883807e-13,false
139,2.957634137601417e-13,2.957634137601417e-13,false
140,7.72715225139109e-14,7.72715225139109e-14,false
141,-3.907985046680551e-14,3.907985046680551e-14,false
142,9.636735853746359e-14,9.636735853746359e-14,false
143,4.440892098500626e-14,4.440892098500626e-14,false
144,2.3092638912203256e-14,2.3092638912203256e-14,false
145,1.7763568394002505e-15,1.7763568394002505e-15,false
146,1.794120407794253e-13,1.794120407794253e-13,false
147,-6.226130722097878e-13,6.226130722097878e-13,false
148,-2.220446049250313e-13,2.220446049250313e-13,false
149,-1.5987211554602254e-14,1.5987211554602254e-14,false
150,0.0,0.0,false
151,-2.0539125955565396e-15,2.0539125955565396e-15,false
152,-1.1102230246251565e-16,1.1102230246251565e-16,false
153,4.75175454539567e-14,4.75175454539567e-14,false
154,1.2156942119645464e-14,1.2156942119645464e-14,false
155,-7.105427357601002e-15,7.105427357601002e-15,false
156,9.103828801926284e-15,9.103828801926284e-15,false
157,2.6645352591003757e-15,2.6645352591003757e-15,false
158,3.3306690738754696e-15,3.3306690738754696e-15,false
159,-1.0658141036401503e-14,1.0658141036401503e-14,false
160,-1.3677947663381929e-13,1.3677947663381929e-13,false
161,-8.881784197001252e-14,8.881784197001252e-14,false
162,-3.9968028886505635e-15,3.9968028886505635e-15,false
163,1.092459456231154e-13,1.092459456231154e-13,false
164,0.0,0.0,false
165,5.329070518200751e-15,5.329070518200751e-15,false
166,-3.552713678800501e-14,3.552713678800501e-14,false
167,4.476419235288631e-13,4.476419235288631e-13,false
168,-8.215650382226158e-15,8.215650382226158e-15,false
169,-2.3092638912203256e-14,2.3092638912203256e-14,false
172,-2.6606494785141876e-13,2.6606494785141876e-13,false
173,4.645173135031655e-13,4.645173135031655e-13,false
174,-2.7000623958883807e-13,2.7000623958883807e-13,false
175,1.7141843500212417e-13,1.7141843500212417e-13,false
176,3.268496584496461e-13,3.268496584496461e-13,false
177,-4.911626660941693e-13,4.911626660941693e-13,false
178,-7.127631818093505e-14,7.127631818093505e-14,false
179,7.932543510946743e-14,7.932543510946743e-14,false
180,-1.2395640069939873e-13,1.2395640069939873e-13,false
181,7.549516567451064e-15,7.549516567451064e-15,false
182,2.7422508708241367e-13,2.7422508708241367e-13,false
183,-1.5476508963274682e-13,1.5476508963274682e-13,false
184,4.772363060290274e-13,4.772363060290274e-13,false
185,-6.455946888195285e-14,6.455946888195285e-14,false
186,3.9190872769268026e-14,3.9190872769268026e-14,false
187,4.04121180963557e-14,4.04121180963557e-14,false
188,-1.9539925233402755e-14,1.9539925233402755e-14,false
189,2.0516921495072893e-13,2.0516921495072893e-13,false
190,-7.105427357601002e-15,7.105427357601002e-15,false
191,1.127986593019159e-13,1.127986593019159e-13,false
192,0.0,0.0,false
193,-2.6645352591003757e-14,2.6645352591003757e-14,false
194,-2.7267077484793845e-13,2.7267077484793845e-13,false
195,-4.884981308350689e-15,4.884981308350689e-15,false
196,6.994405055138486e-13,6.994405055138486e-13,false
197,-3.1308289294429414e-13,3.1308289294429414e-13,false
198,1.2789769243681803e-13,1.2789769243681803e-13,false
199,8.171241461241152e-14,8.171241461241152e-14,false
200,1.2931877790833823e-12,1.2931877790833823e-12,false
201,-2.220446049250313e-15,2.220446049250313e-15,false
202,-1.2327916465437738e-12,1.2327916465437738e-12,false
203,-8.100187187665142e-13,8.100187187665142e-13,false
204,-6.039613253960852e-14,6.039613253960852e-14,false
205,8.109068971862143e-13,8.109068971862143e-13,false
206,2.6645352591003757e-15,2.6645352591003757e-15,false
207,-8.881784197001252e-15,8.881784197001252e-15,false
208,5.595524044110789e-14,5.595524044110789e-14,false
209,0.0,0.0,false
210,-3.979039320256561e-13,3.979039320256561e-13,false
211,-8.881784197001252e-16,8.881784197001252e-16,false
212,0.0,0.0,false
213,1.0658141036401503e-13,1.0658141036401503e-13,false
214,-5.201172825763933e-12,5.201172825763933e-12,false
215,0.0,0.0,false
216,4.565237077258644e-13,4.565237077258644e-13,false
217,4.9329429430144955e-12,4.9329429430144955e-12,false
218,0.0,0.0,false
219,-1.0658141036401503e-14,1.0658141036401503e-14,false
220,0.0,0.0,false
221,3.7481129311345285e-13,3.7481129311345285e-13,false
222,-4.551914400963142e-15,4.551914400963142e-15,false
223,-6.417089082333405e-14,6.417089082333405e-14,false
224,1.6986412276764895e-14,1.6986412276764895e-14,false
225,1.439959262938828e-13,1.439959262938828e-13,false
226,-2.886579864025407e-13,2.886579864025407e-13,false
227,2.8199664825478976e-14,2.8199664825478976e-14,false
228,-1.27675647831893e-14,1.27675647831893e-14,false
229,0.0,0.0,false
230,0.0,0.0,false
231,0.0,0.0,false
232,-1.1546319456101628e-14,1.1546319456101628e-14,false
233,0.0,0.0,false
234,0.0,0.0,false
235,0.0,0.0,false
236,-3.774758283725532e-15,3.774758283725532e-15,false
237,0.0,0.0,false
238,0.0,0.0,false
239,0.0,0.0,false
240,-3.567979245389097e-14,3.567979245389097e-14,false
241,0.0,0.0,false
242,2.1760371282653068e-14,2.1760371282653068e-14,false
243,0.0,0.0,false
244,1.0658141036401503e-14,1.0658141036401503e-14,false
245,-2.6645352591003757e-15,2.6645352591003757e-15,false
246,-3.9168668308775523e-13,3.9168668308775523e-13,false
247,0.0,0.0,false
248,0.0,0.0,false
249,0.0,0.0,false
250,6.403766406037903e-13,6.403766406037903e-13,false
251,2.2382096176443156e-13,2.2382096176443156e-13,false
252,4.4231285301066237e-13,4.4231285301066237e-13,false
253,0.0,0.0,false
254,0.0,0.0,false
255,0.0,0.0,false
256,-3.785860513971784e-14,3.785860513971784e-14,false
257,8.702372156221827e-12,8.702372156221827e-12,false
259,-7.893685705084863e-14,7.893685705084863e-14,false
260,0.0,0.0,false
261,3.552713678800501e-15,3.552713678800501e-15,false
262,1.191269305422793e-13,1.191269305422793e-13,false
264,0.0,0.0,false
265,0.0,0.0,false
266,-2.2606305716266206e-11,2.2606305716266206e-11,false
267,-1.1102230246251565e-16,1.1102230246251565e-16,false
268,-8.347766922156552e-13,8.347766922156552e-13,false
269,1.5543122344752192e-15,1.5543122344752192e-15,false
270,1.9290125052862095e-14,1.9290125052862095e-14,false
271,-9.791056854169256e-13,9.791056854169256e-13,false
272,1.5357437543883634e-12,1.5357437543883634e-12,false
273,-3.8968828164342995e-14,3.8968828164342995e-14,false
274,5.3915205633359164e-15,5.3915205633359164e-15,false
275,-5.502542865798432e-15,5.502542865798432e-15,false
276,-2.8449465006019636e-15,2.8449465006019636e-15,false
277,0.0,0.0,false
278,2.824129818890242e-15,2.824129818890242e-15,false
279,0.0,0.0,false
280,-1.0918349557798024e-14,1.0918349557798024e-14,false
281,-1.0446504772332332e-14,1.0446504772332332e-14,false
282,0.0,0.0,false
283,0.0,0.0,false
284,0.0,0.0,false
285,-3.1002977962657496e-14,3.1002977962657496e-14,false
286,-1.9886869928598117e-14,1.9886869928598117e-14,false
287,0.0,0.0,false
288,0.0,0.0,false
289,-3.712308238590367e-16,3.712308238590367e-16,false
290,-1.2212453270876722e-15,1.2212453270876722e-15,false
291,-1.5987211554602254e-13,1.5987211554602254e-13,false
292,5.262457136723242e-14,5.262457136723242e-14,false
293,0.0,0.0,false
294,-8.881784197001252e-15,8.881784197001252e-15,false
295,-7.527312106958561e-14,7.527312106958561e-14,false
296,2.4702462297909733e-14,2.4702462297909733e-14,false
297,0.0,0.0,false
298,-7.258083023486961e-14,7.258083023486961e-14,false
299,2.1344037648418634e-14,2.1344037648418634e-14,false
300,-2.1149748619109232e-14,2.1149748619109232e-14,false
